points_from,points_to,juror_a_ranking,juror_b_ranking,juror_c_ranking,juror_d_ranking,juror_e_ranking,jury_rank,televoting_rank
Albania, Azerbaijan,14,6,23,5,8,2 points 9th,14th
Albania, Belgium,23,22,19,25,21,25th,25th
Albania, Bulgaria,22,25,8,21,24,17th,5 points 6th
Albania, Cyprus,3,5,4,8,6,7 points 4th,2 points 9th
Albania, Finland,6,9,7,12,10,3 points 8th,3 points 8th
Albania, France,2,1,3,2,2,10 points 2nd,6 points 5th
Albania, Germany,18,15,12,10,22,13th,15th
Albania, Greece,4,10,5,4,9,6 points 5th,8 points 3rd
Albania, Iceland,8,13,10,11,11,11th,21st
Albania, Israel,13,7,9,16,12,12th,22nd
Albania, Italy,16,4,21,7,3,4 points 7th,10 points 2nd
Albania, Lithuania,9,18,15,22,20,16th,13th
Albania, Malta,7,3,2,3,4,8 points 3rd,12th
Albania, Moldova,25,24,11,20,23,20th,7 points 4th
Albania, Norway,19,20,13,23,25,23rd,19th
Albania, Portugal,21,12,20,15,17,18th,23rd
Albania, Russia,15,14,18,13,13,14th,17th
Albania, San Marino,5,8,6,9,5,5 points 6th,11th
Albania, Serbia,11,11,17,6,7,1 point 10th,16th
Albania, Spain,12,21,16,18,19,19th,18th
Albania, Sweden,10,19,14,19,16,15th,1 point 10th
Albania, Switzerland,1,2,1,1,1,12 points 1st,12 points 1st
Albania, The Netherlands,17,23,24,14,18,22nd,24th
Albania, Ukraine,20,16,25,17,15,21st,4 points 7th
Albania, United Kingdom,24,17,22,24,14,24th,20th
Australia, Albania,25,23,22,24,24,26th,24th
Australia, Azerbaijan,20,13,19,17,21,21st,17th
Australia, Belgium,23,22,21,26,25,25th,23rd
Australia, Bulgaria,6,11,9,7,17,2 points 9th,16th
Australia, Cyprus,5,5,7,9,13,4 points 7th,14th
Australia, Finland,16,25,23,8,15,18th,3 points 8th
Australia, France,15,3,2,1,5,7 points 4th,4 points 7th
Australia, Germany,26,26,26,10,26,22nd,19th
Australia, Greece,13,9,17,18,11,13th,11th
Australia, Iceland,2,7,1,6,3,8 points 3rd,12 points 1st
Australia, Israel,12,14,14,25,9,14th,15th
Australia, Italy,7,24,4,3,4,6 points 5th,7 points 4th
Australia, Lithuania,17,12,10,20,8,11th,6 points 5th
Australia, Malta,1,2,3,4,1,12 points 1st,8 points 3rd
Australia, Moldova,22,20,25,15,22,24th,25th
Australia, Norway,18,17,18,16,20,23rd,1 point 10th
Australia, Portugal,10,15,15,23,10,15th,18th
Australia, Russia,9,10,13,14,16,1 point 10th,12th
Australia, San Marino,19,19,12,11,14,17th,13th
Australia, Serbia,24,6,20,12,23,12th,2 points 9th
Australia, Spain,21,8,16,21,19,19th,26th
Australia, Sweden,14,18,11,19,12,16th,20th
Australia, Switzerland,4,1,8,2,2,10 points 2nd,5 points 6th
Australia, The Netherlands,3,16,6,13,7,3 points 8th,22nd
Australia, Ukraine,11,4,5,5,6,5 points 6th,10 points 2nd
Australia, United Kingdom,8,21,24,22,18,20th,21st
Austria, Albania,22,24,25,19,18,26th,13th
Austria, Azerbaijan,19,19,24,20,22,25th,17th
Austria, Belgium,20,17,16,10,14,17th,21st
Austria, Bulgaria,2,3,9,7,9,5 points 6th,11th
Austria, Cyprus,15,25,13,9,21,16th,20th
Austria, Finland,9,10,7,15,8,1 point 10th,4 points 7th
Austria, France,7,1,5,6,2,8 points 3rd,6 points 5th
Austria, Germany,5,9,18,26,7,2 points 9th,15th
Austria, Greece,12,21,12,13,25,18th,19th
Austria, Iceland,1,5,1,8,3,12 points 1st,10 points 2nd
Austria, Israel,16,12,14,17,20,19th,18th
Austria, Italy,11,7,3,2,1,6 points 5th,8 points 3rd
Austria, Lithuania,21,13,11,14,15,15th,3 points 8th
Austria, Malta,3,6,8,22,11,4 points 7th,2 points 9th
Austria, Moldova,23,22,22,11,26,21st,24th
Austria, Norway,26,18,6,16,24,13th,1 point 10th
Austria, Portugal,6,4,4,1,5,7 points 4th,14th
Austria, Russia,17,20,23,3,12,11th,12th
Austria, San Marino,13,26,17,24,23,22nd,22nd
Austria, Serbia,18,11,19,18,10,14th,12 points 1st
Austria, Spain,8,23,15,12,13,12th,25th
Austria, Sweden,24,16,20,23,17,24th,16th
Austria, Switzerland,4,2,2,4,4,10 points 2nd,5 points 6th
Austria, The Netherlands,10,8,10,5,6,3 points 8th,23rd
Austria, Ukraine,25,14,21,25,16,23rd,7 points 4th
Austria, United Kingdom,14,15,26,21,19,20th,26th
Azerbaijan, Albania,20,10,19,25,18,20th,21st
Azerbaijan, Belgium,16,15,7,19,2,3 points 8th,17th
Azerbaijan, Bulgaria,7,12,13,6,10,1 point 10th,20th
Azerbaijan, Cyprus,10,16,23,21,19,19th,15th
Azerbaijan, Finland,13,14,5,9,11,13th,5 points 6th
Azerbaijan, France,9,13,16,4,4,4 points 7th,2 points 9th
Azerbaijan, Germany,22,24,21,24,21,23rd,19th
Azerbaijan, Greece,6,6,2,1,8,10 points 2nd,11th
Azerbaijan, Iceland,19,8,18,16,17,17th,16th
Azerbaijan, Israel,11,17,15,12,14,16th,12 points 1st
Azerbaijan, Italy,14,19,6,14,6,14th,10 points 2nd
Azerbaijan, Lithuania,21,23,20,13,22,22nd,14th
Azerbaijan, Malta,5,7,12,2,1,7 points 4th,12th
Azerbaijan, Moldova,2,4,4,5,7,8 points 3rd,1 point 10th
Azerbaijan, Norway,18,9,8,18,16,15th,7 points 4th
Azerbaijan, Portugal,12,3,14,8,12,2 points 9th,25th
Azerbaijan, Russia,1,1,3,3,3,12 points 1st,6 points 5th
Azerbaijan, San Marino,8,11,11,7,9,11th,3 points 8th
Azerbaijan, Serbia,24,18,10,11,24,18th,18th
Azerbaijan, Spain,17,21,25,20,13,21st,24th
Azerbaijan, Sweden,4,20,1,15,20,5 points 6th,13th
Azerbaijan, Switzerland,15,2,17,17,15,12th,4 points 7th
Azerbaijan, The Netherlands,25,25,22,23,23,25th,23rd
Azerbaijan, Ukraine,3,5,9,10,5,6 points 5th,8 points 3rd
Azerbaijan, United Kingdom,23,22,24,22,25,24th,22nd
Belgium, Albania,18,21,23,20,22,20th,15th
Belgium, Azerbaijan,22,23,20,25,19,23rd,13th
Belgium, Bulgaria,7,11,4,4,4,6 points 5th,14th
Belgium, Cyprus,14,19,18,11,12,17th,17th
Belgium, Finland,6,4,5,1,2,8 points 3rd,6 points 5th
Belgium, France,15,9,12,17,15,15th,12 points 1st
Belgium, Germany,23,24,24,23,25,24th,20th
Belgium, Greece,20,16,15,15,17,18th,12th
Belgium, Iceland,4,7,11,5,11,3 points 8th,5 points 6th
Belgium, Israel,10,17,10,18,16,16th,19th
Belgium, Italy,17,15,16,6,7,2 points 9th,8 points 3rd
Belgium, Lithuania,9,14,14,14,10,13th,7 points 4th
Belgium, Malta,5,5,3,12,14,5 points 6th,2 points 9th
Belgium, Moldova,25,25,25,24,24,25th,24th
Belgium, Norway,16,13,13,9,13,14th,1 point 10th
Belgium, Portugal,12,12,9,13,8,1 point 10th,11th
Belgium, Russia,3,3,2,7,3,7 points 4th,16th
Belgium, San Marino,19,22,22,19,23,22nd,23rd
Belgium, Serbia,24,18,19,22,21,19th,22nd
Belgium, Spain,13,8,17,16,9,12th,21st
Belgium, Sweden,8,6,7,8,5,4 points 7th,3 points 8th
Belgium, Switzerland,2,1,1,3,1,12 points 1st,4 points 7th
Belgium, The Netherlands,11,10,8,10,18,11th,18th
Belgium, Ukraine,1,2,6,2,6,10 points 2nd,10 points 2nd
Belgium, United Kingdom,21,20,21,21,20,21st,25th
Bulgaria, Albania,23,21,15,14,25,23rd,19th
Bulgaria, Azerbaijan,20,25,22,23,18,25th,4 points 7th
Bulgaria, Belgium,3,20,20,24,23,12th,21st
Bulgaria, Cyprus,12,22,19,10,12,16th,13th
Bulgaria, Finland,21,15,7,8,7,1 point 10th,8 points 3rd
Bulgaria, France,18,5,3,6,1,7 points 4th,10 points 2nd
Bulgaria, Germany,15,16,25,22,24,24th,16th
Bulgaria, Greece,2,2,10,3,5,8 points 3rd,2 points 9th
Bulgaria, Iceland,16,11,12,20,22,20th,11th
Bulgaria, Israel,13,10,9,2,13,3 points 8th,14th
Bulgaria, Italy,5,4,1,7,3,10 points 2nd,12 points 1st
Bulgaria, Lithuania,17,18,16,21,9,19th,17th
Bulgaria, Malta,9,8,4,4,4,5 points 6th,20th
Bulgaria, Moldova,1,1,5,1,6,12 points 1st,15th
Bulgaria, Norway,8,13,17,18,16,15th,12th
Bulgaria, Portugal,10,7,6,5,2,6 points 5th,18th
Bulgaria, Russia,22,9,11,25,19,17th,7 points 4th
Bulgaria, San Marino,25,19,18,16,15,22nd,23rd
Bulgaria, Serbia,24,24,21,11,14,21st,5 points 6th
Bulgaria, Spain,14,3,2,9,17,4 points 7th,22nd
Bulgaria, Sweden,6,14,14,15,11,11th,1 point 10th
Bulgaria, Switzerland,7,23,13,13,10,13th,3 points 8th
Bulgaria, The Netherlands,4,12,8,19,20,2 points 9th,24th
Bulgaria, Ukraine,19,17,24,17,8,18th,6 points 5th
Bulgaria, United Kingdom,11,6,23,12,21,14th,25th
Croatia, Albania,10,13,12,14,9,12th,1 point 10th
Croatia, Azerbaijan,19,21,16,20,18,19th,2 points 9th
Croatia, Belgium,15,16,9,24,14,14th,23rd
Croatia, Bulgaria,16,12,15,23,15,17th,17th
Croatia, Cyprus,5,6,17,15,13,11th,15th
Croatia, Finland,21,17,14,9,19,15th,6 points 5th
Croatia, France,2,7,2,8,5,6 points 5th,7 points 4th
Croatia, Germany,26,25,23,17,22,23rd,19th
Croatia, Greece,23,20,22,21,24,24th,21st
Croatia, Iceland,14,3,4,1,3,10 points 2nd,4 points 7th
Croatia, Israel,4,4,6,6,7,5 points 6th,20th
Croatia, Italy,1,2,3,2,4,12 points 1st,10 points 2nd
Croatia, Lithuania,11,11,8,5,6,2 points 9th,12th
Croatia, Malta,7,8,13,3,11,3 points 8th,14th
Croatia, Moldova,24,26,26,22,23,25th,22nd
Croatia, Norway,20,23,21,18,26,22nd,13th
Croatia, Portugal,13,10,10,4,10,1 point 10th,18th
Croatia, Russia,3,9,5,11,8,4 points 7th,3 points 8th
Croatia, San Marino,17,22,24,19,21,21st,16th
Croatia, Serbia,6,1,7,7,2,7 points 4th,12 points 1st
Croatia, Spain,22,19,19,25,16,20th,25th
Croatia, Sweden,12,15,20,12,17,16th,11th
Croatia, Switzerland,9,5,1,10,1,8 points 3rd,5 points 6th
Croatia, The Netherlands,18,18,18,13,20,18th,26th
Croatia, Ukraine,8,14,11,16,12,13th,8 points 3rd
Croatia, United Kingdom,25,24,25,26,25,26th,24th
Cyprus, Albania,19,20,17,17,17,20th,21st
Cyprus, Azerbaijan,17,17,19,14,16,19th,14th
Cyprus, Belgium,11,1,14,15,18,4 points 7th,20th
Cyprus, Bulgaria,14,8,9,2,23,5 points 6th,7 points 4th
Cyprus, Finland,22,9,24,8,2,3 points 8th,4 points 7th
Cyprus, France,3,7,8,6,5,7 points 4th,8 points 3rd
Cyprus, Germany,24,25,21,25,22,25th,18th
Cyprus, Greece,1,2,1,1,1,12 points 1st,12 points 1st
Cyprus, Iceland,10,6,18,11,19,15th,15th
Cyprus, Israel,9,12,13,16,11,17th,2 points 9th
Cyprus, Italy,4,4,5,5,4,8 points 3rd,10 points 2nd
Cyprus, Lithuania,6,16,15,20,7,13th,5 points 6th
Cyprus, Malta,2,3,4,3,3,10 points 2nd,1 point 10th
Cyprus, Moldova,12,11,10,10,14,16th,25th
Cyprus, Norway,16,18,16,18,8,18th,16th
Cyprus, Portugal,7,13,3,19,24,1 point 10th,17th
Cyprus, Russia,5,5,6,7,6,6 points 5th,3 points 8th
Cyprus, San Marino,13,10,11,9,9,12th,19th
Cyprus, Serbia,25,21,23,21,13,22nd,12th
Cyprus, Spain,21,24,12,23,20,21st,22nd
Cyprus, Sweden,8,15,7,13,12,11th,13th
Cyprus, Switzerland,15,14,2,12,15,2 points 9th,11th
Cyprus, The Netherlands,23,23,22,22,25,24th,23rd
Cyprus, Ukraine,18,22,25,4,10,14th,6 points 5th
Cyprus, United Kingdom,20,19,20,24,21,23rd,24th
Czech Republic, Albania,21,25,18,26,19,25th,23rd
Czech Republic, Azerbaijan,19,19,19,20,22,23rd,17th
Czech Republic, Belgium,22,4,10,7,10,3 points 8th,19th
Czech Republic, Bulgaria,11,2,9,9,4,4 points 7th,12th
Czech Republic, Cyprus,15,21,24,17,20,22nd,20th
Czech Republic, Finland,8,12,8,8,8,1 point 10th,4 points 7th
Czech Republic, France,6,11,1,1,1,10 points 2nd,2 points 9th
Czech Republic, Germany,25,6,15,22,25,14th,18th
Czech Republic, Greece,16,9,13,12,15,12th,8 points 3rd
Czech Republic, Iceland,4,1,5,4,5,8 points 3rd,7 points 4th
Czech Republic, Israel,14,23,16,14,12,17th,15th
Czech Republic, Italy,1,14,7,3,7,6 points 5th,6 points 5th
Czech Republic, Lithuania,12,20,14,25,24,21st,1 point 10th
Czech Republic, Malta,2,16,3,6,3,7 points 4th,14th
Czech Republic, Moldova,24,26,26,24,26,26th,12 points 1st
Czech Republic, Norway,26,10,23,19,21,20th,13th
Czech Republic, Portugal,3,3,2,2,2,12 points 1st,21st
Czech Republic, Russia,7,22,4,10,11,2 points 9th,5 points 6th
Czech Republic, San Marino,23,18,21,21,18,24th,22nd
Czech Republic, Serbia,9,24,17,16,13,16th,11th
Czech Republic, Spain,10,13,11,23,17,15th,24th
Czech Republic, Sweden,20,17,22,18,9,18th,16th
Czech Republic, Switzerland,5,7,6,5,6,5 points 6th,3 points 8th
Czech Republic, The Netherlands,17,15,20,13,14,19th,25th
Czech Republic, Ukraine,13,5,12,15,23,11th,10 points 2nd
Czech Republic, United Kingdom,18,8,25,11,16,13th,26th
Denmark, Albania,1,16,11,21,2,7 points 4th,25th
Denmark, Azerbaijan,12,23,9,12,21,20th,17th
Denmark, Belgium,24,17,21,19,9,23rd,16th
Denmark, Bulgaria,16,9,20,2,3,6 points 5th,18th
Denmark, Cyprus,7,10,7,13,12,13th,13th
Denmark, Finland,8,5,14,3,4,8 points 3rd,7 points 4th
Denmark, France,10,7,19,14,23,18th,3 points 8th
Denmark, Germany,13,25,26,26,22,26th,14th
Denmark, Greece,18,21,3,20,8,14th,15th
Denmark, Iceland,3,2,4,8,11,10 points 2nd,12 points 1st
Denmark, Israel,20,18,2,9,25,1 point 10th,21st
Denmark, Italy,23,14,23,22,10,24th,5 points 6th
Denmark, Lithuania,21,19,13,18,16,25th,4 points 7th
Denmark, Malta,15,3,5,16,14,4 points 7th,2 points 9th
Denmark, Moldova,11,26,15,10,13,19th,24th
Denmark, Norway,25,20,6,5,7,3 points 8th,8 points 3rd
Denmark, Portugal,14,8,18,7,24,16th,11th
Denmark, Russia,17,4,22,25,26,17th,12th
Denmark, San Marino,2,13,12,17,6,5 points 6th,20th
Denmark, Serbia,9,22,16,24,18,22nd,23rd
Denmark, Spain,22,11,10,23,5,15th,26th
Denmark, Sweden,6,15,8,6,20,2 points 9th,10 points 2nd
Denmark, Switzerland,5,1,1,4,1,12 points 1st,6 points 5th
Denmark, The Netherlands,4,6,24,15,17,12th,19th
Denmark, Ukraine,26,24,17,1,19,11th,1 point 10th
Denmark, United Kingdom,19,12,25,11,15,21st,22nd
Estonia, Albania,14,20,16,18,20,21st,25th
Estonia, Azerbaijan,22,18,12,26,18,23rd,14th
Estonia, Belgium,16,10,15,16,21,19th,15th
Estonia, Bulgaria,6,6,4,2,8,6 points 5th,11th
Estonia, Cyprus,20,8,10,12,24,14th,16th
Estonia, Finland,3,7,9,6,1,7 points 4th,12 points 1st
Estonia, France,5,1,3,4,2,10 points 2nd,7 points 4th
Estonia, Germany,26,25,26,24,11,24th,18th
Estonia, Greece,9,17,18,9,22,18th,17th
Estonia, Iceland,2,4,8,3,7,8 points 3rd,3 points 8th
Estonia, Israel,13,11,14,8,13,13th,21st
Estonia, Italy,15,5,13,21,4,3 points 8th,8 points 3rd
Estonia, Lithuania,12,12,7,10,10,2 points 9th,10 points 2nd
Estonia, Malta,18,9,17,7,9,1 point 10th,13th
Estonia, Moldova,25,26,25,25,26,26th,19th
Estonia, Norway,11,19,21,23,25,22nd,4 points 7th
Estonia, Portugal,17,3,11,5,6,5 points 6th,12th
Estonia, Russia,23,23,6,22,12,17th,6 points 5th
Estonia, San Marino,24,16,19,14,15,20th,20th
Estonia, Serbia,10,14,5,19,16,11th,23rd
Estonia, Spain,4,24,23,13,19,12th,24th
Estonia, Sweden,8,15,22,11,14,16th,1 point 10th
Estonia, Switzerland,1,2,2,1,3,12 points 1st,2 points 9th
Estonia, The Netherlands,21,21,24,15,5,15th,26th
Estonia, Ukraine,7,13,1,20,23,4 points 7th,5 points 6th
Estonia, United Kingdom,19,22,20,17,17,25th,22nd
Finland, Albania,9,9,16,24,11,14th,18th
Finland, Azerbaijan,13,24,24,16,24,21st,15th
Finland, Belgium,15,13,9,17,12,15th,14th
Finland, Bulgaria,2,1,2,5,2,10 points 2nd,16th
Finland, Cyprus,20,22,22,15,16,22nd,17th
Finland, France,1,18,4,6,3,7 points 4th,6 points 5th
Finland, Germany,22,16,17,20,18,23rd,19th
Finland, Greece,8,7,8,10,14,2 points 9th,13th
Finland, Iceland,5,10,3,1,5,8 points 3rd,12 points 1st
Finland, Israel,17,6,15,13,7,11th,21st
Finland, Italy,3,4,10,4,4,6 points 5th,8 points 3rd
Finland, Lithuania,10,5,11,7,20,3 points 8th,5 points 6th
Finland, Malta,6,11,21,22,6,1 point 10th,11th
Finland, Moldova,23,20,25,21,25,25th,2 points 9th
Finland, Norway,16,23,6,14,23,16th,4 points 7th
Finland, Portugal,11,15,12,8,10,13th,12th
Finland, Russia,24,3,18,9,8,4 points 7th,1 point 10th
Finland, San Marino,14,19,19,23,22,24th,20th
Finland, Serbia,12,21,14,25,9,18th,22nd
Finland, Spain,21,17,7,18,13,17th,25th
Finland, Sweden,7,14,13,2,19,5 points 6th,3 points 8th
Finland, Switzerland,4,2,1,3,1,12 points 1st,7 points 4th
Finland, The Netherlands,18,8,20,19,21,19th,23rd
Finland, Ukraine,25,12,5,11,15,12th,10 points 2nd
Finland, United Kingdom,19,25,23,12,17,20th,24th
France, Albania,16,4,16,22,11,15th,15th
France, Azerbaijan,24,13,22,17,16,25th,18th
France, Belgium,17,2,11,3,13,6 points 5th,21st
France, Bulgaria,14,12,18,2,25,13th,17th
France, Cyprus,8,15,12,12,3,2 points 9th,22nd
France, Finland,19,16,1,20,19,12th,1 point 10th
France, Germany,18,9,13,24,5,16th,13th
France, Greece,2,23,4,5,1,12 points 1st,20th
France, Iceland,20,7,7,9,4,3 points 8th,4 points 7th
France, Israel,4,5,10,7,15,5 points 6th,5 points 6th
France, Italy,23,10,3,8,22,11th,10 points 2nd
France, Lithuania,21,21,6,19,6,14th,11th
France, Malta,9,11,25,13,9,18th,16th
France, Moldova,6,22,14,21,8,17th,7 points 4th
France, Norway,15,20,23,18,12,23rd,14th
France, Portugal,1,6,8,4,21,8 points 3rd,8 points 3rd
France, Russia,5,3,5,1,18,10 points 2nd,12th
France, San Marino,13,17,9,6,2,4 points 7th,24th
France, Serbia,25,25,17,16,10,22nd,3 points 8th
France, Spain,11,14,20,15,23,21st,19th
France, Sweden,10,18,2,11,17,1 point 10th,2 points 9th
